Log drop time;Site;System model;System serialnumber;Control unit;Control unit sw
'2026-07-14 11:23;'SABER_ANDAR;'RJ03 6KVA 48V21KW 400V+N SPD BD ;'214809001311;'SP2 Touch 11    ; 2.12  
Eventlog
#;Date/Time;Description;Event
00001;2026-07-14 08:57:53 ;OutDoorTemp82.1                 ;Event       :On 
00002;2026-07-13 17:22:21 ;OutDoorTemp82.1                 ;Event       :Off
00003;2026-07-13 08:07:32 ;OutDoorTemp82.1                 ;Event       :On 
00004;2026-07-12 17:53:30 ;OutDoorTemp82.1                 ;Event       :Off
00005;2026-07-12 07:53:55 ;OutDoorTemp82.1                 ;Event       :On 
00006;2026-07-11 17:28:02 ;OutDoorTemp82.1                 ;Event       :Off
00007;2026-07-11 08:34:29 ;OutDoorTemp82.1                 ;Event       :On 
00008;2026-07-10 17:38:41 ;OutDoorTemp82.1                 ;Event       :Off
00009;2026-07-10 10:50:59 ;BatteryUsedCap                  ;:5%             
00010;2026-07-10 10:37:59 ;MainsLow                        ;Major Alarm :Off
00011;2026-07-10 10:37:58 ;MainsLow                        ;Major Alarm :On 
00012;2026-07-10 10:37:48 ;MainsLow 1                      ;Major Alarm :Off
00013;2026-07-10 10:37:48 ;MainsLow                        ;Major Alarm :Off
00014;2026-07-10 10:37:46 ;MainsVolt 1.1                   ;Minor Low   :Off
00015;2026-07-10 10:37:45 ;MainsVolt 1.1                   ;Major Low   :Off
00016;2026-07-10 10:08:41 ;MainsVolt 1.1                   ;Major Low   :On 
00017;2026-07-10 10:08:37 ;MainsLow 1                      ;Major Alarm :On 
00018;2026-07-10 10:08:33 ;MainsVolt 1.1                   ;Minor Low   :On 
00019;2026-07-10 10:08:31 ;MainsLow                        ;Major Alarm :On 
00020;2026-07-10 08:40:25 ;OutDoorTemp82.1                 ;Event       :On 
00021;2026-07-09 18:03:54 ;OutDoorTemp82.1                 ;Event       :Off
00022;2026-07-09 09:01:32 ;OutDoorTemp82.1                 ;Event       :On 
00023;2026-07-08 19:45:43 ;OutDoorTemp82.1                 ;Event       :Off
00024;2026-07-08 08:17:05 ;OutDoorTemp82.1                 ;Event       :On 
00025;2026-07-07 17:41:44 ;OutDoorTemp82.1                 ;Event       :Off
00026;2026-07-07 08:05:39 ;OutDoorTemp82.1                 ;Event       :On 
00027;2026-07-06 17:58:23 ;OutDoorTemp82.1                 ;Event       :Off
00028;2026-07-06 09:23:29 ;OutDoorTemp82.1                 ;Event       :On 
00029;2026-07-05 17:46:58 ;OutDoorTemp82.1                 ;Event       :Off
00030;2026-07-05 08:47:54 ;OutDoorTemp82.1                 ;Event       :On 
00031;2026-07-04 17:36:23 ;OutDoorTemp82.1                 ;Event       :Off
00032;2026-07-04 09:10:54 ;OutDoorTemp82.1                 ;Event       :On 
00033;2026-07-03 17:46:26 ;OutDoorTemp82.1                 ;Event       :Off
00034;2026-07-03 09:03:37 ;OutDoorTemp82.1                 ;Event       :On 
