ip,community,vendor,sysObjectID,sysDescr
192.168.102.5,-,NO_RESPONSE,-,-
192.168.113.5,-,NO_RESPONSE,-,-
192.168.127.5,-,NO_RESPONSE,-,-
192.168.128.5,-,NO_RESPONSE,-,-
192.168.129.5,community1,Unknown,1.3.6.1.4.1.8072.3.2.10,Linux am335x 3.10.53-HULK2 #0 PREEMPT Tue Jan 1 10:06:00 CST 2019 armv7l
192.168.139.5,-,NO_RESPONSE,-,-
192.168.154.5,-,NO_RESPONSE,-,-
192.168.155.5,-,NO_RESPONSE,-,-
192.168.156.5,-,NO_RESPONSE,-,-
192.168.157.5,-,NO_RESPONSE,-,-
192.168.158.5,-,NO_RESPONSE,-,-
192.168.159.5,-,NO_RESPONSE,-,-
192.168.160.5,-,NO_RESPONSE,-,-
192.168.161.5,-,NO_RESPONSE,-,-
192.168.162.5,-,NO_RESPONSE,-,-
192.168.163.5,-,NO_RESPONSE,-,-
192.168.164.5,-,NO_RESPONSE,-,-
192.168.166.5,-,NO_RESPONSE,-,-
192.168.167.5,-,NO_RESPONSE,-,-
192.168.168.5,-,NO_RESPONSE,-,-
192.168.169.5,-,NO_RESPONSE,-,-
192.168.170.5,-,NO_RESPONSE,-,-
192.168.171.5,community1,Unknown,1.3.6.1.4.1.8072.3.2.10,Linux am335x 3.10.53-HULK2 #0 PREEMPT Tue Jan 1 10:06:00 CST 2019 armv7l
192.168.172.5,-,NO_RESPONSE,-,-
192.168.173.5,-,NO_RESPONSE,-,-
192.168.174.5,-,NO_RESPONSE,-,-
192.168.176.5,-,NO_RESPONSE,-,-
192.168.177.5,-,NO_RESPONSE,-,-
192.168.178.5,-,NO_RESPONSE,-,-
192.168.180.5,-,NO_RESPONSE,-,-
192.168.183.5,-,NO_RESPONSE,-,-
192.168.184.5,-,NO_RESPONSE,-,-
192.168.188.5,-,NO_RESPONSE,-,-
192.168.191.5,community1,Unknown,1.3.6.1.4.1.8072.3.2.10,Linux am335x 3.10.53-HULK2 #0 PREEMPT Tue Jan 1 10:06:00 CST 2019 armv7l
192.168.192.5,-,NO_RESPONSE,-,-
192.168.194.5,-,NO_RESPONSE,-,-
192.168.196.5,-,NO_RESPONSE,-,-
192.168.198.5,community1,Unknown,1.3.6.1.4.1.8072.3.2.10,Linux am335x 3.10.53-HULK2 #0 PREEMPT Tue Jan 1 10:06:00 CST 2019 armv7l
192.168.199.5,-,NO_RESPONSE,-,-
192.168.200.5,-,NO_RESPONSE,-,-
192.168.201.5,-,NO_RESPONSE,-,-
192.168.202.37,-,NO_RESPONSE,-,-
192.168.203.101,-,NO_RESPONSE,-,-
192.168.204.165,-,NO_RESPONSE,-,-
192.168.210.5,-,NO_RESPONSE,-,-
