ip,site_id,nome,vendor_esperado,responded,working_communities,sys_descr,sys_object_id,vendor_guess_oid,vendor_guess_text,vendor_confirmed_via,vendor_match
192.168.112.5,,,,False,,,,,,,sem_vendor_esperado
192.168.121.5,,,,False,,,,,,,sem_vendor_esperado
192.168.122.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.123.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.130.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.133.5,,,,False,,,,,,,sem_vendor_esperado
192.168.134.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.138.5,,,,False,,,,,,,sem_vendor_esperado
192.168.140.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.141.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.142.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.143.5,,,,False,,,,,,,sem_vendor_esperado
192.168.144.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.147.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.151.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.152.5,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.165.5,,,,False,,,,,,,sem_vendor_esperado
192.168.200.69,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.201.165,,,,False,,,,,,,sem_vendor_esperado
192.168.201.229,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue Aug 31 09:28:02 CST 2021 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.202.101,,,,False,,,,,,,sem_vendor_esperado
192.168.202.37,,,,False,,,,,,,sem_vendor_esperado
192.168.206.101192.168.208.5,,,,False,,,,,,,sem_vendor_esperado
192.168.207.229,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue May 28 15:42:02 +14 2024 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.207.37,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue May 28 15:42:02 +14 2024 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.208.229,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue May 28 15:42:02 +14 2024 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.209.37,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue May 28 15:42:02 +14 2024 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.209.37,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue May 28 15:42:02 +14 2024 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
192.168.209.69,,,,True,public,Linux (none) 4.1.18-gbbe8cfc #1 PREEMPT Tue May 28 15:42:02 +14 2024 armv7l,1.3.6.1.4.1.53318.10,enetek,,,sem_vendor_esperado
