site_id,name,ip
UIDAM001,NSOSSO,192.168.205.37
LDVIA018,CASSACA_II,192.168.140.5
UIMAZ001,KIMBATA,192.168.122.5
LDPLN009,CABALA_PN,192.168.210.197
HBBAI001,CTRBAILUND,192.168.203.197
BEBEN002,B_4ABRIL_N,
BEBEN004,BR_4ABRIL2,
LDBEL008,COPE_N,192.168.197.5
LNCAG001,BR_MALANJE,
IBQUI001,COXI,192.168.131.5
BEBEN005,ST_ANTONIO,192.168.208.37
LDCAC001,NOVAURBAN4,192.168.209.229
LDCAC006,SP_BARRA,192.168.179.5
HBHUB005,BSASSOND02,
HBHUB001,MACOLOCOLO,192.168.205.229
HBHUB002,BR_CALUNDO,192.168.209.197
CACAB001,RESISTÊNCIA/EVARISTO,192.168.136.5
HBHUB004,NDANGO_SUL,192.168.126.5
LDVIA019,VILA_FLOR6,192.168.208.101
LDPLN004,MIRAMAR_PN,192.168.158.5
LDTAL008,SIMIONE_S,192.168.207.5
LDLDA006,BR_ILHA1,192.168.205.101
LDKIK008,KAPOLO_SW,192.168.189.5
LDKIK009,MAR_ENETO,192.168.207.165
LDLDA007,BR_ILHA2,
LDLDA001,NSOARES,192.168.202.229
LDVIA029,Z1_CASSOCO,
LDKIK005,KAPOLO2_NE,192.168.209.101
LDVIA002,VIANA NORTE_ISTA,192.168.183.5
LDKIK001,CALEMBA_2_1,
LDLDA008,RUA_PRIO,192.168.182.5
LDPLN001,CIMANGOL_PN,192.168.201.197
LDTAL003,CALEMBA2_S,192.168.187.5
LDVIA015,MULENCIMA3,
BECUB002,200_CASAS,192.168.207.101
LDVIA001,SAPU2_NW,192.168.104.5
KSAMB001,CUDISSANGA,192.168.209.5
LDVIA013,FENÍCIA BR_VIANA,192.168.155.5
LDVIA031,Z1_MERC_E,192.168.154.5
BIAND001,ANDULO_E,192.168.185.5
HBHUB006,B_STA_IRIA,192.168.206.197
LNCUG001,CAMARIANGA,192.168.206.69
LDVIA016,MUXIMOXI_N,192.168.161.5
BEBEN003,BEIRA_ALT2,192.168.211.229
BIKUI005,BI_B_AZUL1,192.168.203.69
BIKUI003,BI_MILITAR,192.168.210.133
BECAT001,BIOPIO1,192.168.202.165
LDTAL002,MUFULAMA_E,192.168.208.165
BEBOC001,BOCOIO3,192.168.201.5
KNCAZ004,BOTANICO,
MACAC001,BR_MAXINDE,192.168.211.69
LDTAL006,CAMAMA_7,192.168.173.5
KNROD002,BR_AÇUDE,192.168.174.5
KSCEL001,WKUNGO2,192.168.168.5
KNCAZ001,BR_CAJI,192.168.186.5
LDTAL007,ALPHA,192.168.177.5
MOAZB001,CAVUNGO,192.168.175.5
UIQUI001,VSTALEGRCT,
LDVIA003,LD SAOJOSE,
LDVIA006,KPALANCA_S,192.168.201.37
LDVIA032,BR_INCUTAL,192.168.205.5
LDPLN012,BR_KASSALA,192.168.166.5
BGDAN002,BR_KAWANGO,192.168.190.5
LNCUG003,V_MINEIRA,192.168.139.5
LNDUN001,CNT_DUNDO4,
LDLDA005,LD_TERNOVA,192.168.167.5
BIKUI004,BR_NJELE,192.168.210.229
MAMAJ001,CAMP_AVI_N,192.168.200.197
KNROD003,BR_TRIANGUL,192.168.117.5
CACAB005,BR_UNECA,192.168.203.229
BECUB001,BR_VACARIA,192.168.176.5
LSMUD001,CASSAI_S,192.168.115.5
LDTAL009,MBONDO_CHA,192.168.180.5
LDVIA005,BR_MUSSENDE,192.168.204.165
LSSAU002,CASSENGO,
LNDUN002,BAIRRO28,192.168.157.5
HBHUB009,CALILONGUE,192.168.109.5
LDVIA004,VILA FLOR_E,192.168.210.69
LNLOV001,LUMUA,192.168.153.5
KSCEL002,WKUNGO3,192.168.204.5
MOLUA001,LUAU2,192.168.194.5
BIKUI001,CAMBANDUA,192.168.135.5
LNLUC001,CALONDA_NE,192.168.198.5
KNCAZ003,CAMUNDAY,192.168.124.5
BEBFA001,CAOTINHA,192.168.148.5
LDKIK006,NOVA VIDA_5,192.168.210.101
MOLUA002,MX_BLVISTA,192.168.202.69
LNLUC002,LUCAPTNOVA,192.168.200.37
LNXAM001,CAVUBA,192.168.125.5
LNXAM002,CAVUBA_NE,192.168.203.37
LSSAU001,MUANGUEJI,192.168.204.229
HBHUB003,CHILATA,192.168.201.133
KSEBO001,CONDE2,
CACAB004,CHIWECA4,192.168.205.133
LDVIA028,KPALANCA04,192.168.195.5
IBCAL002,CID_SECULO,192.168.200.101
BEBEN006,CIMENFORT2,192.168.201.69
KNROD004,CN_IMBO,192.168.107.5
LDPLN006,FUNDA_PN,192.168.146.5
LSMUD002,MURIEGE,192.168.132.5
BELOB002,CNT_LOBITO03,
MOLUA003,BRVILALUSO,192.168.103.5
KSLIB001,CALULO3,
LDPLN003,KIKUXI_PN,
CACAB003,CPX_APLON,
MOLUA004,SINAIVELHO,192.168.204.101
LDBEL009,CTR_COMAND,192.168.200.229
BIKUI002,CTR_KUITO2,192.168.205.165
MOLUA005,MX_URB4FEV,192.168.202.37
LDVIA007,KIKUXI_S,192.168.209.133
KSQUI001,QUIBALA2,192.168.196.5
LDKIK010,NV_VIDA06,192.168.206.165
CACAC002,DINGE,192.168.201.101
LNXAM003,MINGALA,192.168.210.37
MAMAJ003,VMATILDE4,
MAMAJ002,VOANVOALA,
HBHUB010,HU_BJUVENT,
LDVIA027,INEA_VIANA,192.168.208.133
NAPRA001,CTRPRAIM1,192.168.211.101
LDVIA014,VILA PACÍFICA 324,192.168.202.5
KKMEN001,BR TOMAS_E,192.168.207.69
BICAM001,KAMACUPA2_E,192.168.209.165
LDVIA011,VLA_ZANGO5,
IBCAL001,SHOPNOVERA,
LDBEL014,ZN_VERD3,
LDTAL011,MU_CAMBAXI,
UISZP001,KILUMOSSO3,
UIUIG001,B_PEDREIRA,
UIUIG002,KIMPAVITA,
KKMEN002,PANDEIRA_O,
NAMOÇ004,BR_SMINGA2,
CUOND003,CACHILA_SO,
LDBEL006,V_KILAMBA,
BELOB003,LBT_CASSAI,
LDBEL007,CABOLOMBO7,
CACAB006,LOMBOLOMBO,
CUOND001,CAFITO_SO,
CUOND002,CNTDKEVANU,
HLLUG002,Crismel,
LDPLN005,BELAS_PN,
LDKIK011,MRC_CRREIO,
LDBEL001,MATADOR3,
LDBEL003,MATADOR2,
LDVIA008,ZANGO2_TB,
NAMOÇ001,CTR5ABRIL1,
LDCAC002,MAYEMAYE,
KNCAZ002,MORRO_BINDA,
LDKIK012,SAPU_KPOL3,
LDPLN013,BITA TANQUE OP2_PN,
HLLUG003,ENTRPOS_LG,
KNDON001,MUCOSO,
LDVIA009,ZANG3_ENT2,
LDKIK007,BCA_KAPOLO,
HLLUG001,EYWA2,
LDPLN011,Muxima PN,
LDVIA010,ZANGO4_E,
HLLUG006,FEIRA_E,
HLLUG004,INST_INDEP,
CUCHM001,KAFIMA,
KKMEN003,KK_BJUVENT,
LDICB001,KM 44,
BECAT002,NEGRÃO_S,
LDBEL002,DATACENTER EDGE_001,
LDPLN002,BARRA DO KWANZA_PN,
LDPLN014,CABO LEDO_PN,
UIUIG003,BSONANGOL,
LDVIA017,MDC,
LDVIA034,CID_CHINA3,
UIUIG004,URB_KATAPA,
KKMEN004,KK_BVITORIA,
BGDAN001,PANG_SECT8,
BGDEM001,PAREDES,
KNROD001,PRACETA,
KSSUM001,CHINGO_O,
LDICB002,QUIMINHA,
LDVIA036,REFRIANGO1,
LDTAL010,TALATONA_S,
BGDAN004,CNT_BUCULA,
KSSUM002,BR_ATANCO,
KKMEN005,KK_BRSAÚDE,
KNCAZ005,SÃO_FILIPE,
LDVIA020,SAPU_06,
LDPLN010,CALOMBOLOCA_PN,
LDVIA026,SAPVIANA_2,
ZANZE001,NZETO_ESTE,
