oid,type,value
.1.3.6.1.4.1.12148.10.2.1.0,Integer,1
.1.3.6.1.4.1.12148.10.2.2.0,Integer,4
.1.3.6.1.4.1.12148.10.2.3.0,Integer,3
.1.3.6.1.4.1.12148.10.2.4.0,OctetString,"""ANTOSC"""
.1.3.6.1.4.1.12148.10.2.5.0,OctetString,"""VLA_ZANGO5(LDVIA011)"""
.1.3.6.1.4.1.12148.10.2.6.0,OctetString,"""FP2 48V 24KW 400V+N SPD BD LD1&2"""
.1.3.6.1.4.1.12148.10.2.7.0,OctetString,"""222309001057"""
.1.3.6.1.4.1.12148.10.2.8.0,OctetString,"""\a\xe8\v\a\x00\x00\x00\x00"""
.1.3.6.1.4.1.12148.10.2.9.0,Integer,48
.1.3.6.1.4.1.12148.10.2.10.0,Integer,0
.1.3.6.1.4.1.12148.10.2.11.0,Integer,0
.1.3.6.1.4.1.12148.10.2.12.0,Integer,0
.1.3.6.1.4.1.12148.10.2.13.0,Integer,0
.1.3.6.1.4.1.12148.10.2.14.0,Integer,0
.1.3.6.1.4.1.12148.10.2.15.0,Integer,0
.1.3.6.1.4.1.12148.10.2.16.0,Integer,0
.1.3.6.1.4.1.12148.10.2.17.0,Integer,0
.1.3.6.1.4.1.12148.10.2.18.0,Integer,1
.1.3.6.1.4.1.12148.10.3.1.0,Integer,1
.1.3.6.1.4.1.12148.10.3.2.1.0,Integer,1
.1.3.6.1.4.1.12148.10.3.2.2.0,OctetString,"""MainsLow        """
.1.3.6.1.4.1.12148.10.3.2.4.0,Integer,1
.1.3.6.1.4.1.12148.10.3.2.5.0,Integer,0
.1.3.6.1.4.1.12148.10.3.2.6.0,Integer,1
.1.3.6.1.4.1.12148.10.3.2.7.0,Integer,1
.1.3.6.1.4.1.12148.10.3.3.0,Integer,1
.1.3.6.1.4.1.12148.10.3.4.1.2.1,Integer,1
.1.3.6.1.4.1.12148.10.3.4.1.3.1,OctetString,"""MainsVolt 1    """
.1.3.6.1.4.1.12148.10.3.4.1.5.1,Integer,1
.1.3.6.1.4.1.12148.10.3.4.1.6.1,Integer,237
.1.3.6.1.4.1.12148.10.3.4.1.7.1,Integer,280
.1.3.6.1.4.1.12148.10.3.4.1.8.1,Integer,260
.1.3.6.1.4.1.12148.10.3.4.1.9.1,Integer,100
