Registo,Valor,Estado
0,0,RESPONDENDO
1,0,RESPONDENDO
2,0,RESPONDENDO
3,0,RESPONDENDO
4,0,RESPONDENDO
5,0,RESPONDENDO
6,0,RESPONDENDO
7,0,RESPONDENDO
8,0,RESPONDENDO
9,0,RESPONDENDO
10,0,RESPONDENDO
11,0,RESPONDENDO
12,0,RESPONDENDO
13,0,RESPONDENDO
14,0,RESPONDENDO
15,0,RESPONDENDO
16,0,RESPONDENDO
17,16,RESPONDENDO
18,0,RESPONDENDO
19,0,RESPONDENDO
20,0,RESPONDENDO
21,0,RESPONDENDO
22,0,RESPONDENDO
23,0,RESPONDENDO
24,0,RESPONDENDO
25,0,RESPONDENDO
26,0,RESPONDENDO
27,32,RESPONDENDO
28,32,RESPONDENDO
29,32,RESPONDENDO
30,32,RESPONDENDO
31,0,RESPONDENDO
32,0,RESPONDENDO
33,0,RESPONDENDO
34,0,RESPONDENDO
35,0,RESPONDENDO
36,0,RESPONDENDO
37,0,RESPONDENDO
38,0,RESPONDENDO
39,0,RESPONDENDO
40,0,RESPONDENDO
41,0,RESPONDENDO
42,0,RESPONDENDO
43,0,RESPONDENDO
44,0,RESPONDENDO
45,0,RESPONDENDO
46,0,RESPONDENDO
47,65535,RESPONDENDO
48,2313,RESPONDENDO
49,32767,RESPONDENDO
50,126,RESPONDENDO
51,65084,RESPONDENDO
52,1,RESPONDENDO
53,32768,INATIVO/DESCONFIGURADO (0x8000)
54,24,RESPONDENDO
55,574,RESPONDENDO
56,32768,INATIVO/DESCONFIGURADO (0x8000)
57,32768,INATIVO/DESCONFIGURADO (0x8000)
58,32768,INATIVO/DESCONFIGURADO (0x8000)
59,32768,INATIVO/DESCONFIGURADO (0x8000)
60,0,RESPONDENDO
61,73,RESPONDENDO
62,0,RESPONDENDO
63,0,RESPONDENDO
64,0,RESPONDENDO
65,1,RESPONDENDO
66,0,RESPONDENDO
67,2,RESPONDENDO
68,0,RESPONDENDO
69,0,RESPONDENDO
70,34,RESPONDENDO
71,38,RESPONDENDO
72,45,RESPONDENDO
73,0,RESPONDENDO
74,54,RESPONDENDO
75,13,RESPONDENDO
76,36,RESPONDENDO
77,9,RESPONDENDO
78,2,RESPONDENDO
79,2,RESPONDENDO
80,0,RESPONDENDO
81,25,RESPONDENDO
82,75,RESPONDENDO
83,440,RESPONDENDO
84,320,RESPONDENDO
85,254,RESPONDENDO
86,184,RESPONDENDO
87,0,RESPONDENDO
88,120,RESPONDENDO
89,1030,RESPONDENDO
90,0,RESPONDENDO
91,0,RESPONDENDO
92,0,RESPONDENDO
93,0,RESPONDENDO
94,0,RESPONDENDO
95,0,RESPONDENDO
96,0,RESPONDENDO
97,0,RESPONDENDO
98,0,RESPONDENDO
99,0,RESPONDENDO
100,0,RESPONDENDO
101,0,RESPONDENDO
102,0,RESPONDENDO
103,0,RESPONDENDO
104,0,RESPONDENDO
105,0,RESPONDENDO
106,0,RESPONDENDO
107,0,RESPONDENDO
108,0,RESPONDENDO
109,0,RESPONDENDO
110,0,RESPONDENDO
111,0,RESPONDENDO
112,0,RESPONDENDO
113,53287,RESPONDENDO
114,N/A,TIMEOUT/NÃO_DISPONÍVEL
115,0,RESPONDENDO
116,0,RESPONDENDO
117,N/A,TIMEOUT/NÃO_DISPONÍVEL
118,0,RESPONDENDO
119,0,RESPONDENDO
120,0,RESPONDENDO
121,0,RESPONDENDO
122,0,RESPONDENDO
123,0,RESPONDENDO
124,0,RESPONDENDO
125,0,RESPONDENDO
126,N/A,TIMEOUT/NÃO_DISPONÍVEL
127,0,RESPONDENDO
128,0,RESPONDENDO
129,0,RESPONDENDO
130,0,RESPONDENDO
131,0,RESPONDENDO
132,0,RESPONDENDO
133,0,RESPONDENDO
134,0,RESPONDENDO
135,0,RESPONDENDO
136,0,RESPONDENDO
137,0,RESPONDENDO
138,0,RESPONDENDO
139,N/A,TIMEOUT/NÃO_DISPONÍVEL
140,0,RESPONDENDO
141,0,RESPONDENDO
142,0,RESPONDENDO
143,N/A,TIMEOUT/NÃO_DISPONÍVEL
144,N/A,TIMEOUT/NÃO_DISPONÍVEL
145,N/A,TIMEOUT/NÃO_DISPONÍVEL
146,N/A,TIMEOUT/NÃO_DISPONÍVEL
147,N/A,TIMEOUT/NÃO_DISPONÍVEL
148,N/A,TIMEOUT/NÃO_DISPONÍVEL
149,N/A,TIMEOUT/NÃO_DISPONÍVEL
150,65535,RESPONDENDO
151,255,RESPONDENDO
152,14148,RESPONDENDO
153,N/A,TIMEOUT/NÃO_DISPONÍVEL
154,N/A,TIMEOUT/NÃO_DISPONÍVEL
155,N/A,TIMEOUT/NÃO_DISPONÍVEL
156,N/A,TIMEOUT/NÃO_DISPONÍVEL
157,N/A,TIMEOUT/NÃO_DISPONÍVEL
158,N/A,TIMEOUT/NÃO_DISPONÍVEL
159,N/A,TIMEOUT/NÃO_DISPONÍVEL
160,N/A,TIMEOUT/NÃO_DISPONÍVEL
161,N/A,TIMEOUT/NÃO_DISPONÍVEL
162,N/A,TIMEOUT/NÃO_DISPONÍVEL
163,N/A,TIMEOUT/NÃO_DISPONÍVEL
164,N/A,TIMEOUT/NÃO_DISPONÍVEL
165,N/A,TIMEOUT/NÃO_DISPONÍVEL
166,N/A,TIMEOUT/NÃO_DISPONÍVEL
167,N/A,TIMEOUT/NÃO_DISPONÍVEL
168,11565,RESPONDENDO
169,N/A,TIMEOUT/NÃO_DISPONÍVEL
170,N/A,TIMEOUT/NÃO_DISPONÍVEL
171,N/A,TIMEOUT/NÃO_DISPONÍVEL
172,N/A,TIMEOUT/NÃO_DISPONÍVEL
173,N/A,TIMEOUT/NÃO_DISPONÍVEL
174,N/A,TIMEOUT/NÃO_DISPONÍVEL
175,N/A,TIMEOUT/NÃO_DISPONÍVEL
176,0,RESPONDENDO
177,5,RESPONDENDO
178,0,RESPONDENDO
179,0,RESPONDENDO
180,0,RESPONDENDO
181,0,RESPONDENDO
182,0,RESPONDENDO
183,0,RESPONDENDO
184,0,RESPONDENDO
185,N/A,TIMEOUT/NÃO_DISPONÍVEL
186,32768,INATIVO/DESCONFIGURADO (0x8000)
187,32768,INATIVO/DESCONFIGURADO (0x8000)
188,32768,INATIVO/DESCONFIGURADO (0x8000)
189,32768,INATIVO/DESCONFIGURADO (0x8000)
190,32768,INATIVO/DESCONFIGURADO (0x8000)
191,32768,INATIVO/DESCONFIGURADO (0x8000)
192,32768,INATIVO/DESCONFIGURADO (0x8000)
193,32768,INATIVO/DESCONFIGURADO (0x8000)
194,32768,INATIVO/DESCONFIGURADO (0x8000)
195,32768,INATIVO/DESCONFIGURADO (0x8000)
196,32768,INATIVO/DESCONFIGURADO (0x8000)
197,32768,INATIVO/DESCONFIGURADO (0x8000)
198,32768,INATIVO/DESCONFIGURADO (0x8000)
199,32768,INATIVO/DESCONFIGURADO (0x8000)
200,32768,INATIVO/DESCONFIGURADO (0x8000)
201,32768,INATIVO/DESCONFIGURADO (0x8000)
202,32768,INATIVO/DESCONFIGURADO (0x8000)
203,N/A,TIMEOUT/NÃO_DISPONÍVEL
204,32768,INATIVO/DESCONFIGURADO (0x8000)
205,N/A,TIMEOUT/NÃO_DISPONÍVEL
206,900,RESPONDENDO
207,500,RESPONDENDO
208,65535,RESPONDENDO
209,0,RESPONDENDO
210,0,RESPONDENDO
211,100,RESPONDENDO
212,100,RESPONDENDO
213,100,RESPONDENDO
214,100,RESPONDENDO
215,32768,INATIVO/DESCONFIGURADO (0x8000)
216,32768,INATIVO/DESCONFIGURADO (0x8000)
217,32768,INATIVO/DESCONFIGURADO (0x8000)
218,32768,INATIVO/DESCONFIGURADO (0x8000)
219,32768,INATIVO/DESCONFIGURADO (0x8000)
220,254,RESPONDENDO
221,N/A,TIMEOUT/NÃO_DISPONÍVEL
222,0,RESPONDENDO
223,N/A,TIMEOUT/NÃO_DISPONÍVEL
224,0,RESPONDENDO
225,0,RESPONDENDO
226,0,RESPONDENDO
227,0,RESPONDENDO
228,0,RESPONDENDO
229,0,RESPONDENDO
230,32768,INATIVO/DESCONFIGURADO (0x8000)
231,32768,INATIVO/DESCONFIGURADO (0x8000)
232,32768,INATIVO/DESCONFIGURADO (0x8000)
233,32768,INATIVO/DESCONFIGURADO (0x8000)
234,32768,INATIVO/DESCONFIGURADO (0x8000)
235,32768,INATIVO/DESCONFIGURADO (0x8000)
236,0,RESPONDENDO
237,N/A,TIMEOUT/NÃO_DISPONÍVEL
238,0,RESPONDENDO
239,N/A,TIMEOUT/NÃO_DISPONÍVEL
240,N/A,TIMEOUT/NÃO_DISPONÍVEL
241,N/A,TIMEOUT/NÃO_DISPONÍVEL
242,N/A,TIMEOUT/NÃO_DISPONÍVEL
243,N/A,TIMEOUT/NÃO_DISPONÍVEL
244,N/A,TIMEOUT/NÃO_DISPONÍVEL
245,N/A,TIMEOUT/NÃO_DISPONÍVEL
246,N/A,TIMEOUT/NÃO_DISPONÍVEL
247,N/A,TIMEOUT/NÃO_DISPONÍVEL
248,N/A,TIMEOUT/NÃO_DISPONÍVEL
249,N/A,TIMEOUT/NÃO_DISPONÍVEL
250,N/A,TIMEOUT/NÃO_DISPONÍVEL
251,N/A,TIMEOUT/NÃO_DISPONÍVEL
252,N/A,TIMEOUT/NÃO_DISPONÍVEL
253,N/A,TIMEOUT/NÃO_DISPONÍVEL
254,N/A,TIMEOUT/NÃO_DISPONÍVEL
255,N/A,TIMEOUT/NÃO_DISPONÍVEL
256,N/A,TIMEOUT/NÃO_DISPONÍVEL
257,N/A,TIMEOUT/NÃO_DISPONÍVEL
258,N/A,TIMEOUT/NÃO_DISPONÍVEL
259,N/A,TIMEOUT/NÃO_DISPONÍVEL
260,N/A,TIMEOUT/NÃO_DISPONÍVEL
261,N/A,TIMEOUT/NÃO_DISPONÍVEL
262,N/A,TIMEOUT/NÃO_DISPONÍVEL
263,N/A,TIMEOUT/NÃO_DISPONÍVEL
264,N/A,TIMEOUT/NÃO_DISPONÍVEL
265,N/A,TIMEOUT/NÃO_DISPONÍVEL
266,N/A,TIMEOUT/NÃO_DISPONÍVEL
267,N/A,TIMEOUT/NÃO_DISPONÍVEL
268,N/A,TIMEOUT/NÃO_DISPONÍVEL
269,N/A,TIMEOUT/NÃO_DISPONÍVEL
270,N/A,TIMEOUT/NÃO_DISPONÍVEL
271,N/A,TIMEOUT/NÃO_DISPONÍVEL
272,N/A,TIMEOUT/NÃO_DISPONÍVEL
273,N/A,TIMEOUT/NÃO_DISPONÍVEL
274,N/A,TIMEOUT/NÃO_DISPONÍVEL
275,N/A,TIMEOUT/NÃO_DISPONÍVEL
276,N/A,TIMEOUT/NÃO_DISPONÍVEL
277,N/A,TIMEOUT/NÃO_DISPONÍVEL
278,N/A,TIMEOUT/NÃO_DISPONÍVEL
279,N/A,TIMEOUT/NÃO_DISPONÍVEL
280,N/A,TIMEOUT/NÃO_DISPONÍVEL
281,N/A,TIMEOUT/NÃO_DISPONÍVEL
282,N/A,TIMEOUT/NÃO_DISPONÍVEL
283,N/A,TIMEOUT/NÃO_DISPONÍVEL
284,N/A,TIMEOUT/NÃO_DISPONÍVEL
285,N/A,TIMEOUT/NÃO_DISPONÍVEL
286,N/A,TIMEOUT/NÃO_DISPONÍVEL
287,N/A,TIMEOUT/NÃO_DISPONÍVEL
288,N/A,TIMEOUT/NÃO_DISPONÍVEL
289,N/A,TIMEOUT/NÃO_DISPONÍVEL
290,N/A,TIMEOUT/NÃO_DISPONÍVEL
291,N/A,TIMEOUT/NÃO_DISPONÍVEL
292,N/A,TIMEOUT/NÃO_DISPONÍVEL
293,N/A,TIMEOUT/NÃO_DISPONÍVEL
294,N/A,TIMEOUT/NÃO_DISPONÍVEL
295,N/A,TIMEOUT/NÃO_DISPONÍVEL
296,N/A,TIMEOUT/NÃO_DISPONÍVEL
297,N/A,TIMEOUT/NÃO_DISPONÍVEL
298,N/A,TIMEOUT/NÃO_DISPONÍVEL
299,N/A,TIMEOUT/NÃO_DISPONÍVEL
300,N/A,TIMEOUT/NÃO_DISPONÍVEL
301,N/A,TIMEOUT/NÃO_DISPONÍVEL
302,N/A,TIMEOUT/NÃO_DISPONÍVEL
303,N/A,TIMEOUT/NÃO_DISPONÍVEL
304,N/A,TIMEOUT/NÃO_DISPONÍVEL
305,N/A,TIMEOUT/NÃO_DISPONÍVEL
306,N/A,TIMEOUT/NÃO_DISPONÍVEL
307,N/A,TIMEOUT/NÃO_DISPONÍVEL
308,N/A,TIMEOUT/NÃO_DISPONÍVEL
309,N/A,TIMEOUT/NÃO_DISPONÍVEL
310,N/A,TIMEOUT/NÃO_DISPONÍVEL
311,N/A,TIMEOUT/NÃO_DISPONÍVEL
312,N/A,TIMEOUT/NÃO_DISPONÍVEL
313,N/A,TIMEOUT/NÃO_DISPONÍVEL
314,N/A,TIMEOUT/NÃO_DISPONÍVEL
315,N/A,TIMEOUT/NÃO_DISPONÍVEL
316,N/A,TIMEOUT/NÃO_DISPONÍVEL
317,N/A,TIMEOUT/NÃO_DISPONÍVEL
318,N/A,TIMEOUT/NÃO_DISPONÍVEL
319,N/A,TIMEOUT/NÃO_DISPONÍVEL
320,N/A,TIMEOUT/NÃO_DISPONÍVEL
321,N/A,TIMEOUT/NÃO_DISPONÍVEL
322,N/A,TIMEOUT/NÃO_DISPONÍVEL
323,N/A,TIMEOUT/NÃO_DISPONÍVEL
324,N/A,TIMEOUT/NÃO_DISPONÍVEL
325,N/A,TIMEOUT/NÃO_DISPONÍVEL
326,N/A,TIMEOUT/NÃO_DISPONÍVEL
327,N/A,TIMEOUT/NÃO_DISPONÍVEL
328,N/A,TIMEOUT/NÃO_DISPONÍVEL
329,N/A,TIMEOUT/NÃO_DISPONÍVEL
330,N/A,TIMEOUT/NÃO_DISPONÍVEL
331,N/A,TIMEOUT/NÃO_DISPONÍVEL
332,N/A,TIMEOUT/NÃO_DISPONÍVEL
333,N/A,TIMEOUT/NÃO_DISPONÍVEL
334,N/A,TIMEOUT/NÃO_DISPONÍVEL
335,N/A,TIMEOUT/NÃO_DISPONÍVEL
336,N/A,TIMEOUT/NÃO_DISPONÍVEL
