Registo Inicial,Valor (16-bit),Valor (32-bit Dec),Valor (32-bit Float/Horas)
100,0,0,0.0
101,0,0,0.0
102,0,0,0.0
103,0,0,0.0
104,0,0,0.0
105,0,0,0.0
106,0,0,0.0
107,0,0,0.0
108,0,0,0.0
109,0,0,0.0
110,0,0,0.0
111,0,0,0.0
112,0,855,85.5
113,855,56046123,5604612.3
115,0,0,0.0
116,0,0,0.0
118,0,0,0.0
119,0,0,0.0
120,0,0,0.0
121,0,0,0.0
122,0,0,0.0
123,0,0,0.0
124,0,0,0.0
125,0,0,0.0
127,0,0,0.0
128,0,0,0.0
129,0,0,0.0
130,0,0,0.0
131,0,0,0.0
132,0,0,0.0
133,0,0,0.0
134,0,0,0.0
135,0,0,0.0
136,0,0,0.0
137,0,0,0.0
138,0,13056,1305.6
140,0,0,0.0
141,0,0,0.0
142,0,0,0.0
150,65535,4294902015,429490201.5
151,255,16724070,1672407.0
152,12390,812013945,81201394.5
168,11565,757935405,75793540.5
176,0,5,0.5
177,5,327680,32768.0
178,0,0,0.0
179,0,0,0.0
180,0,0,0.0
181,0,0,0.0
182,0,0,0.0
183,0,0,0.0
184,0,0,0.0
186,32768,2147516416,214751641.6
187,32768,2147516416,214751641.6
188,32768,2147516416,214751641.6
189,32768,2147516416,214751641.6
190,32768,2147516416,214751641.6
191,32768,2147516416,214751641.6
192,32768,2147516416,214751641.6
193,32768,2147516416,214751641.6
194,32768,2147516416,214751641.6
195,32768,2147516416,214751641.6
196,32768,2147516416,214751641.6
197,32768,2147516416,214751641.6
198,32768,2147516416,214751641.6
199,32768,2147516416,214751641.6
