OID,TYPE,VALUE,POSSIBLE_SOH
.1.3.6.1.4.1.12148.10.2.1.0,Integer,3,
.1.3.6.1.4.1.12148.10.2.2.0,Integer,4,
.1.3.6.1.4.1.12148.10.2.3.0,Integer,3,
.1.3.6.1.4.1.12148.10.2.4.0,OctetString,[65 78 84 79 83 67],
.1.3.6.1.4.1.12148.10.2.5.0,OctetString,[87 107 117 110 103 111 50 32 40 75 83 67 69 76 48 48 49 41],
.1.3.6.1.4.1.12148.10.2.6.0,OctetString,[83 109 97 114 116 80 97 99 107 50 32 84 111 117 99 104],
.1.3.6.1.4.1.12148.10.2.7.0,OctetString,[50 48 52 48 48 57 48 48 48 49 55 54],
.1.3.6.1.4.1.12148.10.2.8.0,OctetString,[7 229 3 10 0 0 0 0],
.1.3.6.1.4.1.12148.10.2.9.0,Integer,48,
.1.3.6.1.4.1.12148.10.2.10.0,Integer,0,
.1.3.6.1.4.1.12148.10.2.11.0,Integer,0,
.1.3.6.1.4.1.12148.10.2.12.0,Integer,0,
.1.3.6.1.4.1.12148.10.2.13.0,Integer,0,
.1.3.6.1.4.1.12148.10.2.14.0,Integer,0,
.1.3.6.1.4.1.12148.10.2.15.0,Integer,0,
.1.3.6.1.4.1.12148.10.2.16.0,Integer,0,
.1.3.6.1.4.1.12148.10.2.17.0,Integer,0,
.1.3.6.1.4.1.12148.10.2.18.0,Integer,2,
.1.3.6.1.4.1.12148.10.3.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.3.2.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.3.2.2.0,OctetString,[77 97 105 110 115 70 97 105 108],
.1.3.6.1.4.1.12148.10.3.2.4.0,Integer,1,
.1.3.6.1.4.1.12148.10.3.2.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.3.2.6.0,Integer,2,
.1.3.6.1.4.1.12148.10.3.2.7.0,Integer,1,
.1.3.6.1.4.1.12148.10.3.3.0,Integer,1,
.1.3.6.1.4.1.12148.10.3.4.1.2.1,Integer,4,
.1.3.6.1.4.1.12148.10.3.4.1.3.1,OctetString,[77 97 105 110 115 86 111 108 116 32 49 32 32 32 32],
.1.3.6.1.4.1.12148.10.3.4.1.5.1,Integer,0,
.1.3.6.1.4.1.12148.10.3.4.1.6.1,Integer,239,
.1.3.6.1.4.1.12148.10.3.4.1.7.1,Integer,280,
.1.3.6.1.4.1.12148.10.3.4.1.8.1,Integer,260,
.1.3.6.1.4.1.12148.10.3.4.1.9.1,Integer,180,
.1.3.6.1.4.1.12148.10.3.4.1.10.1,Integer,120,
.1.3.6.1.4.1.12148.10.3.5.1.0,Integer,0,
.1.3.6.1.4.1.12148.10.3.5.2.1.2.1,Integer,3,
.1.3.6.1.4.1.12148.10.3.5.2.1.3.1,Integer,3,
.1.3.6.1.4.1.12148.10.3.5.2.1.4.1,Integer,1,
.1.3.6.1.4.1.12148.10.3.5.5.1.1.1,Integer,4,
.1.3.6.1.4.1.12148.10.3.5.5.1.2.1,OctetString,[70 114 101 113 117 101 110 99 121 32 49],
.1.3.6.1.4.1.12148.10.3.5.5.1.4.1,Integer,0,
.1.3.6.1.4.1.12148.10.3.5.5.1.5.1,Integer,0,
.1.3.6.1.4.1.12148.10.3.5.5.1.6.1,Integer,7000,
.1.3.6.1.4.1.12148.10.3.5.5.1.7.1,Integer,6500,
.1.3.6.1.4.1.12148.10.3.5.5.1.8.1,Integer,4500,
.1.3.6.1.4.1.12148.10.3.5.5.1.9.1,Integer,4000,
.1.3.6.1.4.1.12148.10.3.5.7.0,Integer,52,
.1.3.6.1.4.1.12148.10.3.5.9.0,Integer,52,
.1.3.6.1.4.1.12148.10.3.5.11.0,Integer,52,
.1.3.6.1.4.1.12148.10.3.6.1.0,Integer,21438,
.1.3.6.1.4.1.12148.10.3.6.2.0,Integer,52,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.1,Integer,452,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.2,Integer,459,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.3,Integer,465,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.4,Integer,485,
