oid,type,value
.1.3.6.1.4.1.2011.6.164.1.1.1.1.0,OctetString,"""KNROD001"""
.1.3.6.1.4.1.2011.6.164.1.1.1.2.0,OctetString,"""Huawei eMap"""
.1.3.6.1.4.1.2011.6.164.1.1.1.3.0,Gauge32,1
.1.3.6.1.4.1.2011.6.164.1.1.1.4.0,OctetString,"""huawei description"""
.1.3.6.1.4.1.2011.6.164.1.1.1.5.0,OctetString,"""net identifier"""
.1.3.6.1.4.1.2011.6.164.1.1.1.6.0,OctetString,"""192.168.198.5"""
.1.3.6.1.4.1.2011.6.164.1.1.1.7.0,OctetString,"""255.255.255.0"""
.1.3.6.1.4.1.2011.6.164.1.1.1.8.0,OctetString,"""192.168.198.1"""
.1.3.6.1.4.1.2011.6.164.1.1.1.9.0,Integer,2
.1.3.6.1.4.1.2011.6.164.1.1.1.10.0,Integer,2
.1.3.6.1.4.1.2011.6.164.1.1.1.12.0,OctetString,"""P017A0001027\r"""
.1.3.6.1.4.1.2011.6.164.1.1.1.13.0,OctetString,"""2026-07-17 09:19:08"""
.1.3.6.1.4.1.2011.6.164.1.1.1.14.0,OctetString,"""10.137.46.62"""
.1.3.6.1.4.1.2011.6.164.1.1.1.15.0,OctetString,"""10.137.46.62"""
.1.3.6.1.4.1.2011.6.164.1.1.1.16.0,Gauge32,31220
.1.3.6.1.4.1.2011.6.164.1.1.2.1.0,Gauge32,0
.1.3.6.1.4.1.2011.6.164.1.1.2.2.0,Gauge32,63
.1.3.6.1.4.1.2011.6.164.1.1.2.3.0,Gauge32,1696
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.1.24098,Integer,24098
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.1.24100,Integer,24100
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.1.24102,Integer,24102
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.1.24103,Integer,24103
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.1.24104,Integer,24104
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.1.24127,Integer,24127
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.2.24098,OctetString,"""Calendar Days Maintenance Reminder"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.2.24100,OctetString,"""Battery Temperature Compensation Activated"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.2.24102,OctetString,"""Stop Failure"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.2.24103,OctetString,"""Genset Generator Fault"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.2.24104,OctetString,"""Over Frequency"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.2.24127,OctetString,"""High Rectifier Remaining Capacity"""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.3.24098,Integer,4
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.3.24100,Integer,4
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.3.24102,Integer,3
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.3.24103,Integer,2
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.3.24104,Integer,2
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.3.24127,Integer,3
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.4.24098,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.4.24100,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.4.24102,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.4.24103,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.4.24104,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.4.24127,OctetString,""""""
.1.3.6.1.4.1.2011.6.164.1.1.2.99.1.5.24098,OctetString,"""2026-07-15 10:53:32"""
