batch_label,ip,responded,working_communities,sys_descr,sys_object_id,vendor_guess,vendor_confirmed_via
full,192.168.200.5,False,,,,,
full,192.168.173.5,False,,,,,
full,192.168.154.5,False,,,,,
full,192.168.176.5,False,,,,,
full,192.168.155.5,False,,,,,
full,192.168.162.5,False,,,,,
full,192.168.192.5,False,,,,,
full,192.168.178.5,False,,,,,
full,192.168.202.37,False,,,,,
full,192.168.158.5,False,,,,,
full,192.168.139.5,False,,,,,
full,192.168.156.5,False,,,,,
full,192.168.128.5,False,,,,,
full,192.168.188.5,False,,,,,
full,192.168.164.5,False,,,,,
full,192.168.127.5,False,,,,,
full,192.168.167.5,False,,,,,
full,192.168.159.5,False,,,,,
full,192.168.174.5,False,,,,,
full,192.168.166.5,False,,,,,
full,192.168.157.5,False,,,,,
full,192.168.177.5,False,,,,,
full,192.168.183.5,False,,,,,
full,192.168.180.5,False,,,,,
full,192.168.203.101,False,,,,,
full,192.168.172.5,False,,,,,
full,192.168.210.5,False,,,,,
full,192.168.161.5,False,,,,,
full,192.168.168.5,False,,,,,
full,192.168.163.5,False,,,,,
full,192.168.196.5,False,,,,,
full,192.168.170.5,False,,,,,
full,192.168.199.5,False,,,,,
full,192.168.160.5,False,,,,,
full,192.168.102.5,False,,,,,
full,192.168.169.5,False,,,,,
full,192.168.201.5,False,,,,,
full,192.168.184.5,False,,,,,
full,192.168.194.5,False,,,,,
full,192.168.204.165,False,,,,,
